API10,API12,API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,DI Landing Zone,DI Landing Zone Source,Target Formation,Formation at Total Depth,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,True Vertical Depth Source,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Spud Date Source,Completion Date,Completion Date Source,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Gross Perforated Interval Source,Horizontal Length,DI Lateral Length,DI Lateral Length Source,Wellbore Count (API10),Completion Count (API10),Treatment Job Count (API10),First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),Qualifier (First Treatment Job),Treatment Type,Frac Vendor,Stage Count (First Treatment Job),Max Injection Rate (First Treatment Job),Max Injection Pressure (First Treatment Job),Total Proppant (First Treatment Job),Total Fluid (First Treatment Job),Total Additive (First Treatment Job),Proppant Per Horizontal Foot (First Treatment Job),Proppant per Perforated Foot (First Treatment Job),Fluid per Perforated Foot (First Treatment Job),Proppant Concentration (lbs/gal) (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,First Test Gas Gravity,First Test Oil Gravity,First Test GOR,First Test Casing Pressure,First Test Choke Size,First Test Flowing Tubing Pressure,Prac IP BOE,Prac IP Gas Daily,Prac IP Oil Daily,Prac IP CFGED,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Peak BOE per 1MM lbs proppant,Peak Gas per 1MM lbs proppant,Peak Oil per 1MM lbs proppant,Peak BOE per 1000 BBL Fluid,Peak Gas per 1000 BBL Fluid,Peak Oil per 1000 BBL Fluid,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Daily Gas,Daily Oil,Latest Gas,Latest Oil,Latest Water,Latest Yield,Last WHSIP,Latest GOR,First Month Gas,First Month Oil,First Month Water,2nd Month GOR,2nd Month Yield,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 6 BOE per 1MM lbs proppant,First 6 Gas per 1MM lbs proppant,First 6 Oil per 1MM lbs proppant,First 6 BOE per 1000 BBL Fluid,First 6 Gas per 1000 BBL Fluid,First 6 Oil per 1000 BBL Fluid,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,First 12 BOE per 1MM lbs proppant,First 12 Gas per 1MM lbs proppant,First 12 Oil per 1MM lbs proppant,First 12 BOE per 1000 BBL Fluid,First 12 Gas per 1000 BBL Fluid,First 12 Oil per 1000 BBL Fluid,Last 12 Gas,Last 12 Oil,Last 12 Water,Last 12 Yield,Prior 12 Gas,Prior 12 Oil,Prior 12 Water,First 24 BOE,First 24 Gas,First 24 Oil,First 24 Water,First 24 MMCFGE,First 60 BOE,First 60 Gas,First 60 Oil,First 60 Water,First 60 MMCFGE,EUR Calc Date,EUR Oil (BE),EUR Oil Months (BE),EUR Oil Proxy (Y/N),EUR Oil Delta (BE),EUR Oil Delta Percent (BE),EUR Oil B-Factor (BE),EUR Oil Initial Rate (BE),EUR Oil Final Rate (BE),EUR Oil Initial Date (BE),EUR Oil End Date (BE),EUR Oil Initial Decline (BE),Oil RRR (BE),EUR Gas (BE),EUR Gas Months (BE),EUR Gas Proxy (Y/N),EUR Gas Delta (BE),EUR Gas Delta Percent (BE),EUR Gas B-Factor (BE),EUR Gas Initial Rate (BE),EUR Gas Final Rate (BE),EUR Gas Initial Date (BE),EUR Gas End Date (BE),EUR Gas Initial Decline (BE),Gas RRR (BE),EUR Oil (Full),EUR Oil Months (Full),EUR Oil B-Factor (Full),EUR Oil Initial Rate (Full),EUR Oil Final Rate (Full),EUR Oil End Date (Full),EUR Oil Initial Decline (Full),Oil RRR (Full),EUR Gas (Full),EUR Gas Months (Full),EUR Gas B-Factor (Full),EUR Gas Initial Rate (Full),EUR Gas Final Rate (Full),EUR Gas End Date (Full),EUR Gas Initial Decline (Full),Gas RRR (Full),EUR (BE) Oil per perforated Ft,EUR (BE) Gas per perforated Ft,EUR (BE) Oil per 1MM lbs proppant,EUR (BE) Gas per 1MM lbs proppant,EUR (BE) Oil per 1000 BBL Fluid,EUR (BE) Gas per 1000 BBL Fluid,EUR (Full) BOE,EUR (Full) BOE per perforated Ft,Horizontal Wellbore Length,TVDSS Mean,Percentage in Landing Zone,Toe in Landing Zone,Footage in Landing Zone,Avg Distance from Top of Zone,Avg Distance from Base of Zone,Ext Formation Thickness Mean,Has Digitized Trajectory (Y/N),Has Filing Document(s) (Y/N),Has Well Log (LAS) (Y/N),Has Well Log (Raster) (Y/N),Has Forecast (Y/N),LAS Mnemonics,Country,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,OCS Area,PGC Area,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,UWI,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
2500921204,250092120400,25009212040000,EBM2 346,346,EBM2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,MADISON,MADISON,MADISON,4513,KB EST,4500,5500,5500,REPORTED,OIL,ACTIVE,1,105681720,COM,597,1985-10-09,REPORTED,1986-02-27,STATE AGENCY,V,4906,5405,499,GROSS PERF INTERVAL,,,,1,1,,1986-02-01,2026-03-01,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.6452,0,640.6452,3.843870967e+06,19860,2,4161,34,19860,2,119.16,2,39.8,8.34,39.8,,,,,,,1.02529018e+06,338629,968852,3.6099654e+07,349.52,6.1517,6151.741,23.5748,67.45,0,817,80820,,,0,0,15652,36220,0,,54107.5,279,54061,177758,108.43,0.56,108.34,,,,,,,70668.5,5121,69815,369679,424.011,141.62,10.26,139.91,,,,,,,0,9836,951591,,0,9649,951591,151834.33,31166,146640,1.336395e+06,911.006,333810,94566,318049,5.823663e+06,2002.86,2026-05-13,996023.69,118,false,0,0,1.57,9930,0,1986-03-01,2036-02-01,0.04,27171.72,361648.94,118,false,0,0,2,1428,0,2014-05-01,2036-02-01,0.08,23019.94,996023.69,118,1.57,9930,0,2036-02-01,0.04,27171.72,349551.91,118,1.69,2641.65,0,2036-02-01,0.03,10922.89,1996.04,700.5,,,,,1.054282341666e+06,2112.79,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,W2SWSW,,,,,(N/A),P-515,,,,,,,,2500921204,45.001661,-108.883346,45.001661,-108.883346
2500921119,250092111900,25009211190001,EBM2 343,343,EBM2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,MADISON,MADISON,,4530,KB EST,4517,6213,6213,REPORTED,OIL,ACTIVE,,,,,1979-01-01,REPORTED,1992-03-12,STATE AGENCY,V,4406,5176,770,GROSS PERF INTERVAL,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,US,BIG HORN,,MT,35,09S,23E,NWSWSE,,,,,,,,,,,,,,2500921119,45.002393,-108.872858,45.002393,-108.872858
2500921014,250092101400,25009210140000,EBET 272,272,EBET,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4850,KB,4839,6680,6680,REPORTED,OIL,ACTIVE,1,105681675,COM,595,2000-01-28,REPORTED,2000-04-06,STATE AGENCY,V,6430,6625,195,GROSS PERF INTERVAL,,,,1,1,,2000-06-01,2026-03-01,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1170,60,3653,87,989,11,7.02,60,6,18.73,5.07,,,,,,,182786.97,327852,128145,747612,2558.45,1.0967,1096.722,35.8347,14.0064,0,406,1768,,,0,7,11,3487,,,294.67,154,269,30825,1.51,0.79,1.38,,,,,,,2546.33,1682,2266,66576,15.278,13.06,8.63,11.62,,,,,,,0,4593,36496,,0,3525,30668,8208.67,6856,7066,89724,49.252,30860.5,38115,24508,132773,185.163,2026-05-13,148876.23,290,false,0,0,1.99,860.87,0,2001-04-01,2050-06-01,0.01,20731.24,398622.56,290,false,0,0,1.98,3653,0,2007-08-01,2050-06-01,0.06,70770.57,148876.23,290,1.99,860.87,0,2050-06-01,0.01,20731.24,365178.66,290,1.99,1550,0,2050-06-01,0.01,37326.66,763.47,1872.71,,,,,209739.34,1075.59,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,26,09S,23E,SESW,,,,,(N/A),P-515,,,,,,,,2500921014,45.016552,-108.875873,45.016552,-108.875873
2500921013,250092101300,25009210130000,EBET 271,271,EBET,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4673,KB EST,4660,6533,6533,REPORTED,OIL,ACTIVE,1,105681674,COM,595,1999-10-21,REPORTED,2000-04-03,STATE AGENCY,V,6318,6473,155,GROSS PERF INTERVAL,,,,1,1,,2001-06-01,2026-03-01,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6613,47.129,51.8065,357967.741,3069.17,63,8371,75,2171,63,18.415,63,19.8,54.01,14.01,,,,,,,330938.35,620642,227498,460707,2728.12,1.9856,1985.63,69.8764,25.6134,0,726,2059,,,0,1342,1590,2981,909.71,1099.2471,9967,8466,8556,16462,64.3,54.62,55.2,,,,,,,19650.83,18323,16597,30050,117.905,126.78,118.21,107.08,,,,,,,9536,7522,22216,788.8003,10999,8032,16124,34490.67,35548,28566,53948,206.944,67917.67,84394,53852,96894,407.506,2026-05-13,288986.5,302,false,0,0,2,1085.5,0,2020-04-01,2051-06-01,0.04,61488.49,702862.81,302,false,0,0,2,4185.5,0,2022-07-01,2051-06-01,0.5,82220.84,270327.44,302,1.63,1630.25,0,2051-06-01,0.01,42829.44,753609.81,302,1.94,4068,0,2051-06-01,0.01,132967.83,1744.05,4862,,,,,395929.075,2554.38,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,26,09S,23E,SWSWSE,,,,,(N/A),P-515,,,,,,,,2500921013,45.015713,-108.872301,45.015713,-108.872301
2500921011,250092101100,25009210110000,EBET 270,270,EBET,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4869,KB EST,4855,6525,6096.74,TRAJECTORY,OIL,ACTIVE,1,105681673,COM,595,1968-11-06,REPORTED,1968-11-16,STATE AGENCY,D,6223,6525,302,GROSS PERF INTERVAL,,,,1,1,,1999-10-01,2026-03-01,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9355,2.129,3.5806,23612.903,6143.83,316,35009,316,5277,19,36.863,316,20.34,115.92,17.47,,,,,,,318411.32,1.034768e+06,145950,198861,7089.88,1.9105,1910.468,124.5358,17.5653,30564,432,85,14.13,,70750,0,0,1499,594.59,1681.8182,0,0,0,1499,0,0,0,,,,,,,0,0,0,1499,0,0,0,0,,,,,,,247586,4207,5894,16.9921,195562,3755,7966,20200.67,14638,17761,72081,121.204,65860.5,68589,54429,136493,395.163,2026-05-13,173454.69,282,false,0,0,2,944,0,2019-10-01,2049-10-01,0.14,27504.69,3.05420275e+06,282,false,0,0,2,19385.83,0,2023-01-01,2049-10-01,0.01,2.01943463e+06,165030.3,282,1.99,4273.47,0,2049-10-01,0.49,19080.3,1.08672963e+06,282,1.99,2181.83,0,2049-10-01,0.01,51961.65,546.46,3598.44,,,,,346151.905,1146.2,,,,,,,,,true,true,false,false,true,,US,BIG HORN,,MT,35,09S,23E,SWNENE,,,,,(N/A),P-515,,,,,,,,2500921011,45.0122848,-108.8681302,45.0101182,-108.871377
2500921009,250092100900,25009210090000,EBET 267,267,EBET,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4706,KB EST,4693,6615,6615,REPORTED,OIL,ACTIVE,1,105681672,COM,595,1999-11-03,REPORTED,2001-01-01,STATE AGENCY,V,6396,6554,158,GROSS PERF INTERVAL,,,,1,1,,2001-01-01,2026-03-01,302,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,38.7321,22.8214,34.9286,232392.857,2581,91,6697,80,2046,272,15.486,91,16.34,42.39,12.95,,,,,,,385969.44,642687,278855,1.090773e+06,2304.74,2.3158,2315.817,70.882,30.7549,0,1235,10337,,,0,764,1297,7528,653.37,1530.5164,9578.67,6430,8507,34822,60.62,40.7,53.84,,,,,,,18970.67,14686,16523,53622,113.824,120.07,92.95,104.58,,,,,,,0,14213,72107,,0,12915,64971,35539,32934,30050,87458,213.234,78751.5,94353,63026,175753,472.509,2026-05-13,430529.63,297,false,0,0,1.37,1548.71,0,2023-08-01,2051-01-01,0.01,151674.64,783734.5,297,false,0,0,1.74,6697,0,2007-08-01,2051-01-01,0.04,141047.48,322001.47,297,1.99,1775.22,0,2051-01-01,0.01,43146.48,727638.44,297,1.99,3436,0,2051-01-01,0.01,84951.47,2037.98,4605.31,,,,,443274.543333,2805.54,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,SENENE,,,,,(N/A),P-515,,,,,,,,2500921009,45.011257,-108.864839,45.011257,-108.864839
2500921008,250092100800,25009210080000,EBET2 238,238,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4396,KB,4383,6078,6078,REPORTED,OIL,ACTIVE,2,"105688360,105697108",MULTIPLE,MULTIPLE,1968-04-21,REPORTED,1968-05-15,STATE AGENCY,V,5834,6012,178,GROSS PERF INTERVAL,,,,1,1,,1983-09-01,2026-03-01,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5106,70.2258,55.8065,405064.516,3815.33,481,18914,481,3184,50,22.892,481,21.43,106.26,17.89,,,,,,,678594.69,1.100267e+06,495217,46353,2221.79,4.0716,4071.569,71.0079,31.9598,0,726,84,,,0,2121,1896,418,1258.38,794.6716,10771.17,12409,8703,3038,60.51,69.71,48.89,,,,,,,20850.67,24970,16689,6502,125.104,117.14,140.28,93.76,,,,,,,35020,8408,398,240.0914,46068,8764,281,38748.5,39297,32199,12217,232.491,99621.5,101823,82651,12487,597.729,2026-05-13,505000.66,89,false,0,0,1.99,2078.44,0,1987-10-01,2033-09-01,0.01,9783.65,1.22753725e+06,89,false,0,0,2,11689.9,0,2023-09-01,2033-09-01,0.48,127270.21,504110.38,89,1.99,2497.94,0,2033-09-01,0.01,8893.38,1.10979613e+06,89,1.99,2557.2,0,2033-09-01,0.01,9529.08,2832.08,6234.81,,,,,689076.401666,3871.22,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,34,09S,23E,SWSESW,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500921008,45.000168,-108.897396,45.000168,-108.897396
2500921002,250092100200,25009210020000,EBET2 240,240,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4493,KB,4480,5947,2900,REPORTED,OIL,ACTIVE,2,"105681690,105697109",MULTIPLE,MULTIPLE,1967-05-31,REPORTED,1970-10-08,STATE AGENCY,D,,,,,,,,1,1,,1974-01-01,2026-03-01,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8154,143.75,41.8571,394892.857,9269.33,96,51476,96,3843,27,55.616,96,,,,,,,,,,441863.77,1.306655e+06,224088,756393,5830.99,2.6512,2651.183,70.4017,12.0737,0,223,192,,,0,2984,1476,7774,3434.3,291.1801,14647.83,33269,9103,42757,,,,,,,,,,33701.33,107624,15764,70742,202.208,,,,,,,,,,71594,2635,1977,36.8048,60836,2689,2161,82055.67,263248,38181,133126,492.334,167432.33,445466,93188,406804,1004.594,2026-05-13,226199.56,373,false,0,0,0.78,3233.32,0,1975-06-01,2057-05-01,0.06,2111.55,1.7883385e+06,373,false,0,0,2,6646,0,2024-03-01,2057-05-01,0.04,481683.44,226199.56,373,0.78,3233.32,0,2057-05-01,0.06,2111.55,1.31404588e+06,373,0.71,19445.33,0,2057-05-01,0.09,7390.87,,,,,,,445207.206666,,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,28,09S,23E,NESE,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500921002,45.018896,-108.906737,45.018896,-108.906737
2500905383,250090538300,25009053830000,EBET2 191,191,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,TENSLEEP,TENSLEEP,MULTIPLE,4644,KB EST,4630,6200,5918,ESTIMATED,OIL,ACTIVE,2,"105681683,105697102",MULTIPLE,MULTIPLE,,,1961-12-22,STATE AGENCY,D,5918,6200,282,GROSS PERF INTERVAL,,,,1,1,,1983-09-01,2026-03-01,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8171,97.2258,24.6129,244903.225,4555.83,85,5098,288,3923,85,27.335,85,16.16,18.08,13.91,,,,,,,454971.12,602815,354502,1.021117e+06,1700.46,2.7298,2729.827,44.4063,26.1143,0,339,1417,,,0,1278,494,6053,3950.2,253.152,6283.67,12802,4150,38951,22.28,45.4,14.72,,,,,,,10262.67,24286,6215,77900,61.576,36.39,86.12,22.04,,,,,,,0,4636,19719,,0,3844,15339,22624.33,48284,14577,148153,135.746,97532.5,116685,78085,180148,585.195,2026-05-13,369471.63,89,false,0,0,1.31,2737,0,1987-11-01,2033-09-01,0.03,14969.63,633845.19,89,false,0,0,1.99,5107.14,0,2007-08-01,2033-09-01,0.15,31030.21,362976.97,89,1.68,2449.97,0,2033-09-01,0.01,8474.98,614732.13,89,1.99,3020.9,0,2033-09-01,0.01,11917.15,1287.15,2179.9,,,,,465432.325,1650.47,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,NENW,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500905383,45.014437,-108.87661,,
2500905382,250090538200,25009053820000,EBET2 188,188,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP","EMBAR, TENSLEEP",4770.44,KB EST,4757.44,6256,6256,REPORTED,OIL,ACTIVE,1,105681682,COM,595,1961-07-10,REPORTED,1961-09-05,STATE AGENCY,V,6096,6124,28,GROSS PERF INTERVAL,,,,1,1,,1998-06-01,2026-03-01,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8332,29.3871,34.9355,239000,13108.33,29,6698,29,11992,29,78.65,29,468.15,239.21,428.29,,,,,,,614743.88,864779,470614,620384,1837.55,3.6885,3688.463,87.1402,47.4218,0,798,8046,,,0,1096,603,18499,841.18,1188.8035,8914.17,7165,7720,63357,318.36,255.89,275.71,,,,,,,33442.67,22162,29749,100835,200.656,1194.38,791.5,1062.46,,,,,,,7393,9822,95459,1328.554,2599,2982,49398,101471.5,62025,91134,155648,608.829,258930.17,167581,231000,181300,1553.581,2026-05-13,508739.47,266,false,0,0,1.94,9576.94,0,2000-10-01,2048-06-01,0.5,38125.46,954673.63,266,false,0,0,1.99,4284.94,0,1999-10-01,2048-06-01,0.01,89894.64,509117.91,266,1.51,7848.29,0,2048-06-01,0.14,38503.9,954673.63,266,1.99,4284.94,0,2048-06-01,0.01,89894.64,18182.78,34095.49,,,,,668230.181666,23865.36,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,35,09S,23E,SESENE,,,,,(N/A),P-515,,,,,,,,2500905382,45.007916,-108.863918,45.007916,-108.863918
2500905368,250090536800,25009053680000,EBET2 215A,215A,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4546,KB,4535,5943,5943,REPORTED,OIL,ACTIVE,2,"105688028,105697107",MULTIPLE,MULTIPLE,1966-11-11,REPORTED,1967-04-17,STATE AGENCY,V,5759,5800,41,GROSS PERF INTERVAL,,,,1,1,,1983-09-01,2026-03-01,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8332,70.2258,13.129,149000,2927.83,271,7194,307,2194,199,17.567,271,71.41,175.46,53.51,,,,,,,627641.52,1.019043e+06,457801,709103,2225.95,3.7658,3765.849,65.9831,29.6426,0,277,1190,,,0,2121,447,2259,5348.89,186.9545,3141,11334,1252,13490,76.61,276.44,30.54,,,,,,,6061.5,23319,2175,27225,36.369,147.84,568.76,53.05,,,,,,,20183,3781,12604,187.3359,22699,3510,14322,15647.5,54855,6505,56510,93.885,50196.17,93313,34644,67364,301.177,2026-05-13,463002.63,89,false,0,0,1.99,1267,0,1985-10-01,2033-09-01,0.01,5201.62,1.0282495e+06,89,false,0,0,1.24,2707.4,0,1985-01-01,2033-09-01,0.02,9206.51,460983.91,89,1.99,894,0,2033-09-01,0.01,3182.9,1.0282495e+06,89,1.24,2707.4,0,2033-09-01,0.02,9206.51,11243.51,25079.26,,,,,632358.826666,15423.39,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,27,09S,23E,NENWSE,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500905368,45.021707,-108.88972,45.021707,-108.88972
2500905361,250090536100,25009053610000,EBET2 214,214,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4520,KB,4508,,6145,REPORTED,OIL,ACTIVE,2,"105681689,105697106",MULTIPLE,MULTIPLE,1966-01-01,REPORTED,1966-02-18,STATE AGENCY,D,,,,,,,,1,1,,1983-09-01,2026-03-01,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4784,64.8065,83.6774,566870.967,4720.83,50,8821,412,4126,50,28.325,50,,,,,,,,,,1.00411693e+06,1.416666e+06,768006,75182,1844.6,6.0247,6024.702,91.7589,49.7445,0,1153,9,,,0,1958,2844,112,774.48,1291.1896,17285.83,11441,15379,641,,,,,,,,,,36501.67,24490,32420,1303,219.01,,,,,,,,,,30913,14079,638,455.4395,29006,14166,459,70715.5,40797,63916,1969,424.293,167744.5,117717,148125,2231,1006.467,2026-05-13,781804.5,89,false,0,0,1.99,3640.16,0,1984-08-01,2033-09-01,0.01,13798.49,1.56265038e+06,89,false,0,0,0.1,6125.69,0,2017-12-01,2033-09-01,0.01,145984.34,781804.5,89,1.99,3640.16,0,2033-09-01,0.01,13798.49,1.4310945e+06,89,1.99,3872.01,0,2033-09-01,0.01,14428.55,,,,,,,1.02032025e+06,,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,34,09S,23E,NWSESW,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500905361,45.002444,-108.898214,45.002444,-108.898214
2500905356,250090535600,25009053560000,EBET2 213,213,EBET2,CONTANGO RESOURCES COMPANY,CRESCENT ENERGY COMPANY,"CONTANGO RESOURCES, INC.",CRGY,ELK BASIN,CARBON (MT),BIG HORN,,,,,"EMBAR, TENSLEEP","EMBAR, TENSLEEP",MULTIPLE,4504,KB,4493,6080,6080,REPORTED,OIL,ACTIVE,2,"105681688,105697105",MULTIPLE,MULTIPLE,1965-11-25,REPORTED,1966-01-16,STATE AGENCY,V,,,,,,,,1,1,,1983-09-01,2026-03-01,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6506,67,34.4839,273903.225,5036.83,81,7367,440,4274,81,30.221,81,,,,,,,,,,856366.21,1.069423e+06,678129,37269,1577.02,5.1382,5138.197,69.7238,44.2123,0,1448,172,,,0,2023,1171,84,1942.94,514.6846,6012.5,11223,4142,1363,,,,,,,,,,19488.33,23936,15499,2726,116.93,,,,,,,,,,2150,18997,2620,8835.814,894,13456,1288,46377.83,39215,39842,4146,278.267,126447.83,110369,108053,4763,758.687,2026-05-13,694020.94,89,false,0,0,1.98,3256.54,0,1984-04-01,2033-09-01,0.01,15891.93,1.08490625e+06,89,false,0,0,0.1,6394.97,0,2020-04-01,2033-09-01,0.04,15483.25,694020.94,89,1.98,3256.54,0,2033-09-01,0.01,15891.93,1.08720513e+06,89,2,3596.14,0,2033-09-01,0.01,17782.12,,,,,,,875221.795,,,,,,,,,,false,false,false,false,true,,US,BIG HORN,,MT,34,09S,23E,NENWSW,,,,,(N/A),P-515,,,,MULTIPLE,MULTIPLE,,,2500905356,45.006279,-108.901085,45.006279,-108.901085
